,year,30m2,60m2,100m2
0,2011,"1.411,03 €","1.520,60 €","2.168,36 €"
1,2012,"1.690,04 €","1.596,73 €","2.261,62 €"
2,2013,"1.929,90 €","1.789,22 €","2.499,54 €"
3,2014,"2.233,51 €","2.044,30 €","2.754,88 €"
4,2015,"2.480,27 €","2.359,35 €","2.950,97 €"
5,2016,"2.552,38 €","2.396,09 €","3.022,58 €"
6,2017,"2.300,03 €","2.264,10 €","2.841,54 €"
7,2018,"3.052,63 €","2.825,95 €","3.405,71 €"
8,2019,"3.600,52 €","3.010,40 €","3.593,52 €"
9,2020,"4.021,14 €","3.466,08 €","3.916,01 €"
10,2021,"4.516,58 €","3.865,27 €","4.256,80 €"
